match_id,player1_id,player2_id,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20251221-M-NextGen_Finals-F-Alexander_Blockx-Learner_Tien,p_21727411,p_0d496700,20251221,NextGen Finals,F,,Centre Court,Hard,,5,N,stard54
20251219-M-NextGen_Finals-RR-Nishesh_Basavareddy-Justin_Engel,p_1fb81ed3,p_24f72e68,20251219,NextGen Finals,RR,,,Hard,Mohamed Lahyani,5,N,Isaac
20251217-M-NextGen_Finals-RR-Rafael_Jodar-Learner_Tien,p_6c2ccac0,p_0d496700,20251217,NextGen Finals,RR,,Centre Court,Hard,,5,N,stard54
20251217-M-NextGen_Finals-RR-Dino_Prizmic-Nishesh_Basavareddy,p_1c7f74d4,p_1fb81ed3,20251217,NextGen Finals,RR,3:00 PM,Centre Court,Hard,,5,N,stard54
20251214-M-Dutch_Championships-F-Jesper_De_Jong-Daniel_De_Jonge,p_aead2cb3,p_715c1997,20251214,Dutch Championships,F,,NTC Amstelveen,Hard,,3,1,Zindaras
20251123-M-Davis_Cup_Finals-RR-Matteo_Berrettini-Pablo_Carreno_Busta,p_fa68f92c,p_f67250a1,20251123,Davis Cup Finals,RR,5pm,Centre,Hard,Timo Janzen,3,1,Edo
20251123-M-Davis_Cup_Finals-RR-Jaume_Munar-Flavio_Cobolli,p_bfaf785f,p_9dcd04f3,20251123,Davis Cup Finals,RR,7pm,Centre,Hard,Marijana Veljovic,3,1,Edo
20251121-M-NCAA_Individual_Finals-QF-Michael_Zheng-Ozan_Baris,p_78bc8dd1,p_1986f0b2,20251121,NCAA Individual Finals,QF,10:00 AM,6,Hard,,3,1,2td2
20251121-M-Davis_Cup_Finals-RR-Flavio_Cobolli-Zizou_Bergs,p_9dcd04f3,p_556904db,20251121,Davis Cup Finals,RR,6pm,Centre,Hard,Timo Janzen,3,1,Edo
20251116-M-Tour_Finals-F-Carlos_Alcaraz-Jannik_Sinner,p_bd725038,p_e8cf3b2c,20251116,Tour Finals,F,,,Hard,,3,1,Ludo
20251115-M-Tour_Finals-SF-Carlos_Alcaraz-Felix_Auger_Aliassime,p_bd725038,p_bb6469ce,20251115,Tour Finals,SF,,,Hard,,3,1,Ludo
20251115-M-Tour_Finals-SF-Alex_De_Minaur-Jannik_Sinner,p_2d990e48,p_e8cf3b2c,20251115,Tour Finals,SF,2pm,Centre,Hard,Nacho Forcadell,3,1,Edo
20251114-M-Tour_Finals-RR-Taylor_Fritz-Alex_De_Minaur,p_3e0cd905,p_2d990e48,20251114,Tour Finals,RR,,,Hard,,3,1,stard54
20251113-M-Tour_Finals-RR-Carlos_Alcaraz-Lorenzo_Musetti,p_bd725038,p_d1739620,20251113,Tour Finals,RR,,,Hard,,3,1,Ludo
20251112-M-Tour_Finals-RR-Jannik_Sinner-Alexander_Zverev,p_e8cf3b2c,p_3585d054,20251112,Tour Finals,RR,,,Hard,,3,1,Isaac
20251111-M-Tour_Finals-RR-Alex_De_Minaur-Lorenzo_Musetti,p_2d990e48,p_d1739620,20251111,Tour Finals,RR,8pm,Centre,Hard,Nacho Forcadell,3,1,Edo
20251110-M-Tour_Finals-RR-Taylor_Fritz-Lorenzo_Musetti,p_3e0cd905,p_d1739620,20251110,Tour Finals,RR,2:20 PM,Inalpi,Hard,R. Lichtenstein,3,1,BG
20251108-M-Athens-F-Novak_Djokovic-Lorenzo_Musetti,p_07e43d13,p_d1739620,20251108,Athens,F,,Center,Hard,R. Haigh,3,1,BG
20251107-M-Lima_CH-QF-Marcelo_Tomas_Barrios_Vera-Juan_Bautista_Torres,p_0c62d974,p_d2c08ecb,20251107,Lima CH,QF,,Cancha Central,Clay,,3,1,Zindaras
20251107-M-Athens-SF-Sebastian_Korda-Lorenzo_Musetti,p_d4287338,p_d1739620,20251107,Athens,SF,6:00 PM,Center,Hard,R. Andrei,3,1,Mike Allen
20251107-M-Athens-SF-Novak_Djokovic-Yannick_Hanfmann,p_07e43d13,p_811d9c7f,20251107,Athens,SF,,Center,Hard,R. Balmforth,3,1,BG
20251105-M-Metz-R16-Moez_Echargui-Learner_Tien,p_2f34b2f3,p_0d496700,20251105,Metz,R16,2:00 PM,Central,Hard,Louis Boucharinc,3,1,Mike Allen
20251104-M-Athens-R16-Alejandro_Tabilo-Novak_Djokovic,p_ef66fe60,p_07e43d13,20251104,Athens,R16,,,Hard,,3,1,Isaac
20251103-M-Metz-R32-Jan_Choinski-Lorenzo_Sonego,p_747e0672,p_5bbad460,20251103,Metz,R32,2:00 PM,Central,Hard,Arnaud Gabas,3,1,Mike Allen
20251102-M-Paris_Masters-F-Felix_Auger_Aliassime-Jannik_Sinner,p_bb6469ce,p_e8cf3b2c,20251102,Paris Masters,F,,,Hard,,3,1,Ludo
