player_id,canonical_name,display_name,handedness,gender,first_seen,last_seen
p_e02c3b1f,aaron krickstein,Aaron Krickstein,R,M,,
p_4381c747,abedallah shelbayh,Abedallah Shelbayh,L,M,,
p_ee332102,adam pavlasek,Adam Pavlasek,R,M,,
p_e6d8151e,adam walton,Adam Walton,R,M,,
p_c8a58ced,adrian andreev,Adrian Andreev,R,M,,
p_4c84b0f5,adrian garcia,Adrian Garcia,R,M,,
p_fee56aaa,adrian mannarino,Adrian Mannarino,L,M,,
p_9a759d79,adrian voinea,Adrian Voinea,R,M,,
p_e1a84a90,adriano panatta,Adriano Panatta,R,M,,
p_354e4d62,adrien bossel,Adrien Bossel,L,M,,
p_618ecc2e,agnieszka radwanska,Agnieszka Radwanska,R,W,,
p_b59653c6,agustin calleri,Agustin Calleri,R,M,,
p_43b721cf,agustin velotti,Agustin Velotti,R,M,,
p_bebb8751,ai sugiyama,Ai Sugiyama,R,W,,
p_ea7a7aec,aisam ul haq qureshi,Aisam Ul Haq Qureshi,R,M,,
p_f5704e3c,ajla tomljanovic,Ajla Tomljanovic,R,W,,
p_0fd02d92,akira santillan,Akira Santillan,R,M,,
p_987b7c2c,alan mackin,Alan Mackin,R,M,,
p_b3024844,alba carrillo marin,Alba Carrillo Marin,R,W,,
p_cf0dbc9d,albano olivetti,Albano Olivetti,R,M,,
p_5f801a56,albert costa,Albert Costa,R,M,,
p_d607f5da,albert montanes,Albert Montanes,R,M,,
p_cc99f7cb,albert ramos,Albert Ramos,L,M,,
p_3360550d,alberto berasategui,Alberto Berasategui,R,M,,
p_a91f9cb6,alberto mancini,Alberto Mancini,R,M,,
p_f70499c4,alberto martin,Alberto Martin,R,M,,
p_d9e1d790,alejandro davidovich fokina,Alejandro Davidovich Fokina,R,M,,
p_3e9cbf53,alejandro falla,Alejandro Falla,L,M,,
p_aff9f3c0,alejandro gonzalez,Alejandro Gonzalez,R,M,,
p_2d02a283,alejandro lopez escribano,Alejandro Lopez Escribano,L,M,,
p_c0025c7f,alejandro moro canas,Alejandro Moro Canas,R,M,,
p_ef66fe60,alejandro tabilo,Alejandro Tabilo,L,M,,
p_033224ae,aleksandar kovacevic,Aleksandar Kovacevic,R,M,,
p_6f01418e,aleksandar vukic,Aleksandar Vukic,R,M,,
p_5e4778ac,aleksandr nedovyesov,Aleksandr Nedovyesov,R,M,,
p_e420f3f2,aleksandra krunic,Aleksandra Krunic,R,W,,
p_3b44c2b6,aleksandra wozniak,Aleksandra Wozniak,R,W,,
p_a976a4f4,aleksandre metreveli,Aleksandre Metreveli,R,M,,
p_7a5acc4f,alessandro giannessi,Alessandro Giannessi,L,M,,
p_323f2074,alevtina ibragimova,Alevtina Ibragimova,R,W,,
p_b262e8c2,alex barrena,Alex Barrena,R,M,,
p_415e4743,alex bogdanovic,Alex Bogdanovic,L,M,,
p_c2f091ed,alex bogomolov jr,Alex Bogomolov Jr,R,M,,
p_a7a95d79,alex bolt,Alex Bolt,L,M,,
p_09a7cccf,alex corretja,Alex Corretja,R,M,,
p_2d990e48,alex de minaur,Alex De Minaur,R,M,,
p_5396d5a7,alex kuznetsov,Alex Kuznetsov,R,M,,
p_bf240910,alex marti pujolras,Alex Marti Pujolras,R,M,,
p_261e0618,alex michelsen,Alex Michelsen,R,M,,
p_f35994ae,alex molcan,Alex Molcan,L,M,,
p_3679fde4,alex radulescu,Alex Radulescu,R,M,,
p_dab21936,alexa noel,Alexa Noel,R,W,,
p_21727411,alexander blockx,Alexander Blockx,R,M,,
p_11fc2fc7,alexander bublik,Alexander Bublik,R,M,,
p_0792b4f2,alexander cozbinov,Alexander Cozbinov,R,M,,
p_e16f65fb,alexander popp,Alexander Popp,R,M,,
p_b9739891,alexander ritschard,Alexander Ritschard,R,M,,
p_9130c308,alexander shevchenko,Alexander Shevchenko,R,M,,
p_a7999674,alexander vasilenko,Alexander Vasilenko,R,M,,
p_275d58db,alexander volkov,Alexander Volkov,L,M,,
p_34723bfc,alexander waske,Alexander Waske,R,M,,
p_3585d054,alexander zverev,Alexander Zverev,R,M,,
p_994f9d1e,alexandr dolgopolov,Alexandr Dolgopolov,R,M,,
p_1f6570d2,alexandra dulgheru,Alexandra Dulgheru,R,W,,
p_a577b11a,alexandra eala,Alexandra Eala,L,W,,
p_b0000786,alexandra stevenson,Alexandra Stevenson,R,W,,
p_dde536b4,alexandra vagramov,Alexandra Vagramov,L,W,,
p_e7c17b61,alexandre muller,Alexandre Muller,R,M,,
p_8013c8f2,alexandre penaud,Alexandre Penaud,R,M,,
p_54181a79,alexei popyrin,Alexei Popyrin,R,M,,
p_ce561c71,alexey vatutin,Alexey Vatutin,R,M,,
p_7f35d95e,alexis blokhina,Alexis Blokhina,L,W,,
p_b675acd0,alexis galarneau,Alexis Galarneau,R,M,,
p_836a5a41,aliaksandra sasnovich,Aliaksandra Sasnovich,R,W,,
p_390aea38,alice ferlito,Alice Ferlito,R,W,,
p_6321d9e3,alice gillan,Alice Gillan,R,W,,
p_5dfab477,alicia dudeney,Alicia Dudeney,R,W,,
p_2d90f44a,alicia molik,Alicia Molik,R,W,,
p_540703f0,alina charaeva,Alina Charaeva,R,W,,
p_2c4af1a2,alina granwehr,Alina Granwehr,R,W,,
p_71e61dd1,alina korneeva,Alina Korneeva,R,W,,
p_29772327,aliona bolsova,Aliona Bolsova,R,W,,
p_b23b33ac,alisa kleybanova,Alisa Kleybanova,R,W,,
p_767c06c5,alison riske amritraj,Alison Riske Amritraj,R,W,,
p_eb24e808,alison van uytvanck,Alison Van Uytvanck,R,W,,
p_3adca4b3,alize cornet,Alize Cornet,R,W,,
p_e1d5e741,alize lim,Alize Lim,R,W,,
p_726a9edf,aljaz bedene,Aljaz Bedene,R,M,,
p_8b5c9126,alla kudryavtseva,Alla Kudryavtseva,R,W,,
p_a0977b31,allie kiick,Allie Kiick,R,W,,
p_c8e1a140,alona bondarenko,Alona Bondarenko,R,W,,
p_c9106f82,altug celikbilek,Altug Celikbilek,R,M,,
p_794094a6,alvaro guillen meza,Alvaro Guillen Meza,R,M,,
p_14662a9b,alycia parks,Alycia Parks,R,W,,
p_67027776,amanda anisimova,Amanda Anisimova,R,W,,
p_93fe4655,amanda coetzer,Amanda Coetzer,R,W,,
p_25825701,amandine hesse,Amandine Hesse,R,W,,
p_913fca69,amarissa kiara toth,Amarissa Kiara Toth,R,W,,
p_554d634e,amarni banks,Amarni Banks,R,W,,
p_ef20c461,amber liu,Amber Liu,R,W,,
p_e82ae91b,amelia rajecki,Amelia Rajecki,R,W,,
p_83f29e67,amelie mauresmo,Amelie Mauresmo,R,W,,
p_3798d784,amina anshba,Amina Anshba,L,W,,
p_1401518c,amir weintraub,Amir Weintraub,R,M,,
p_eb2fcfd2,amos mansdorf,Amos Mansdorf,R,M,,
p_b64b352e,amy frazier,Amy Frazier,R,W,,
p_9f2222c5,an sophie mestach,An Sophie Mestach,R,W,,
p_53bb0aab,ana bogdan,Ana Bogdan,R,W,,
p_f2c009b9,ana ivanovic,Ana Ivanovic,R,W,,
p_4e8bd11a,ana konjuh,Ana Konjuh,R,W,,
p_76d56f8f,ana lantigua de la nuez,Ana Lantigua De La Nuez,R,W,,
p_25fe71bd,ana vrljic,Ana Vrljic,R,W,,
p_4c7978ea,anastasia gasanova,Anastasia Gasanova,R,W,,
p_d935f35a,anastasia kulikova,Anastasia Kulikova,L,W,,
p_4fb3fb22,anastasia myskina,Anastasia Myskina,R,W,,
p_fdbb2ba4,anastasia pavlyuchenkova,Anastasia Pavlyuchenkova,R,W,,
p_0bddbbc5,anastasia potapova,Anastasia Potapova,R,W,,
p_6769ec4b,anastasia rodionova,Anastasia Rodionova,R,W,,
p_ba4fdc81,anastasia tikhonova,Anastasia Tikhonova,R,W,,
p_ede7fccb,anastasia zakharova,Anastasia Zakharova,R,W,,
p_9809ecd3,anastasiia gureva,Anastasiia Gureva,R,W,,
p_84a57976,anastasija sevastova,Anastasija Sevastova,R,W,,
p_e241a799,anca alexia todoni,Anca Alexia Todoni,R,W,,
p_adf82747,anders jarryd,Anders Jarryd,R,M,,
p_a94e3517,andre agassi,Andre Agassi,R,M,,
p_95200ae7,andre lukosiute,Andre Lukosiute,R,W,,
p_2a868d35,andrea arnaboldi,Andrea Arnaboldi,L,M,,
p_a78787b8,andrea collarini,Andrea Collarini,L,M,,
p_b46d6653,andrea gaudenzi,Andrea Gaudenzi,R,M,,
p_7548f9fa,andrea hlavackova,Andrea Hlavackova,R,W,,
p_ef95d7d9,andrea lazaro garcia,Andrea Lazaro Garcia,R,W,,
p_2fb3ad3c,andrea pellegrino,Andrea Pellegrino,R,M,,
p_7b5342ff,andrea petkovic,Andrea Petkovic,R,W,,
p_405bf89d,andrea vavassori,Andrea Vavassori,R,M,,
p_4426acb9,andreas haider maurer,Andreas Haider Maurer,R,M,,
p_d7f4b827,andreas seppi,Andreas Seppi,R,M,,
p_34a8cfb4,andreas vinciguerra,Andreas Vinciguerra,L,M,,
p_99186461,andreea prisacariu,Andreea Prisacariu,R,W,,
p_647661c1,andrei cherkasov,Andrei Cherkasov,R,M,,
p_7109acfc,andrei chesnokov,Andrei Chesnokov,R,M,,
p_982174e0,andrei medvedev,Andrei Medvedev,R,M,,
p_d778b237,andrei pavel,Andrei Pavel,R,M,,
p_121092ed,andrei stoliarov,Andrei Stoliarov,R,M,,
p_c0f43c48,andrej martin,Andrej Martin,R,M,,
p_fafc1a0e,andres artunedo,Andres Artunedo,R,M,,
p_e64df15f,andres gomez,Andres Gomez,L,M,,
p_de7ed6b1,andrew castle,Andrew Castle,R,M,,
p_fdf0c4aa,andrew foster,Andrew Foster,R,M,,
p_f078499a,andrew harris,Andrew Harris,R,M,,
p_d0173eec,andrey golubev,Andrey Golubev,R,M,,
p_c96334ee,andrey kuznetsov,Andrey Kuznetsov,R,M,,
p_9165dd54,andrey rublev,Andrey Rublev,R,M,,
p_6b509c58,andy murray,Andy Murray,R,M,,
p_5ef69d9e,andy roddick,Andy Roddick,R,M,,
p_0af1dc5c,aneta laboutkova,Aneta Laboutkova,L,W,,
