match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20251221-M-NextGen_Finals-F-Alexander_Blockx-Learner_Tien,Alexander Blockx,Learner Tien,R,L,20251221,NextGen Finals,F,,Centre Court,Hard,,5,N,stard54
20251219-M-NextGen_Finals-RR-Nishesh_Basavareddy-Justin_Engel,Nishesh Basavareddy,Justin Engel,R,R,20251219,NextGen Finals,RR,,,Hard,Mohamed Lahyani,5,N,Isaac
20251217-M-NextGen_Finals-RR-Rafael_Jodar-Learner_Tien,Rafael Jodar,Learner Tien,R,L,20251217,NextGen Finals,RR,,Centre Court,Hard,,5,N,stard54
20251217-M-NextGen_Finals-RR-Dino_Prizmic-Nishesh_Basavareddy,Dino Prizmic,Nishesh Basavareddy,R,R,20251217,NextGen Finals,RR,3:00 PM,Centre Court,Hard,,5,N,stard54
20251214-M-Dutch_Championships-F-Jesper_De_Jong-Daniel_De_Jonge,Jesper De Jong,Daniel De Jonge,R,R,20251214,Dutch Championships,F,,NTC Amstelveen,Hard,,3,1,Zindaras
20251123-M-Davis_Cup_Finals-RR-Matteo_Berrettini-Pablo_Carreno_Busta,Matteo Berrettini,Pablo Carreno Busta,R,R,20251123,Davis Cup Finals,RR,5pm,Centre,Hard,Timo Janzen,3,1,Edo
20251123-M-Davis_Cup_Finals-RR-Jaume_Munar-Flavio_Cobolli,Jaume Munar,Flavio Cobolli,R,R,20251123,Davis Cup Finals,RR,7pm,Centre,Hard,Marijana Veljovic,3,1,Edo
20251121-M-NCAA_Individual_Finals-QF-Michael_Zheng-Ozan_Baris,Michael Zheng,Ozan Baris,R,R,20251121,NCAA Individual Finals,QF,10:00 AM,6,Hard,,3,1,2td2
20251121-M-Davis_Cup_Finals-RR-Flavio_Cobolli-Zizou_Bergs,Flavio Cobolli,Zizou Bergs,R,R,20251121,Davis Cup Finals,RR,6pm,Centre,Hard,Timo Janzen,3,1,Edo
20251116-M-Tour_Finals-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,Jannik Sinner,R,R,20251116,Tour Finals,F,,,Hard,,3,1,Ludo
20251115-M-Tour_Finals-SF-Carlos_Alcaraz-Felix_Auger_Aliassime,Carlos Alcaraz,Felix Auger Aliassime,R,R,20251115,Tour Finals,SF,,,Hard,,3,1,Ludo
20251115-M-Tour_Finals-SF-Alex_De_Minaur-Jannik_Sinner,Alex De Minaur,Jannik Sinner,R,R,20251115,Tour Finals,SF,2pm,Centre,Hard,Nacho Forcadell,3,1,Edo
20251114-M-Tour_Finals-RR-Taylor_Fritz-Alex_De_Minaur,Taylor Fritz,Alex De Minaur,R,R,20251114,Tour Finals,RR,,,Hard,,3,1,stard54
20251113-M-Tour_Finals-RR-Carlos_Alcaraz-Lorenzo_Musetti,Carlos Alcaraz,Lorenzo Musetti,R,R,20251113,Tour Finals,RR,,,Hard,,3,1,Ludo
20251112-M-Tour_Finals-RR-Jannik_Sinner-Alexander_Zverev,Jannik Sinner,Alexander Zverev,R,R,20251112,Tour Finals,RR,,,Hard,,3,1,Isaac
20251111-M-Tour_Finals-RR-Alex_De_Minaur-Lorenzo_Musetti,Alex De Minaur,Lorenzo Musetti,R,R,20251111,Tour Finals,RR,8pm,Centre,Hard,Nacho Forcadell,3,1,Edo
